"flag","content",
"$PUSHUPS","Отжимания",
"$PULLUPS","Подтягивания",
"$SQUATS","Приседания",
"$SITUPS","Пресс",
"$DIPS","Отжим. на брусьях",
"$DAY","День",
"$WEEK","Неделя",
"$MONTH","Месяц",
"$YEAR","Год",
"$ALLTIME","Все время",
"$HELLO","Приветствуем вас",
"$HELLOANDWELCOMEBACK","Приветствуем вас,с возвращением!",
"$TIP1","Не забывайте делать разминку!",
"$TIP2","Ешьте полезную пищу, маленькими порциями часто",
"$TIP3","Избегайте недосыпа",
"$TIP4","Избегайте перетренированности",
"$TIP5","Соблюдайте правильную технику выполнения упражнений",
"$TIP6","Пейте много воды",
"$TIP7","Умеренная физическая активность полезна для здоровья",
"$TIP8","Повышайте интенсивность тренировок постепенно",
"$TIP9","Настройтесь на позитив",
"$TIP10","Соблюдайте режим сна",
"$TIPOFTHEDAY","Совет дня",
"$MONDAY","Понедельник",
"$TUESDAY","Вторник",
"$WEDNESDAY","Среда",
"$THURSDAY","Четверг",
"$FRIDAY","Пятница",
"$SATURDAY","Суббота",
"$SUNDAY","Воскресенье",
"$JANUARY","Январь",
"$FEBRUARY","Февраль",
"$MARCH","Март",
"$APRIL","Апрель",
"$MAY","Май",
"$JUNE","Июнь",
"$JULY","Июль",
"$AUGUST","Август",
"$SEPTEMBER","Сентябрь",
"$OCTOBER","Октябрь",
"$NOVEMBER","Ноябрь",
"$DECEMBER","Декабрь",
"$DOWNLOADFAILED","Ошибка загрузки, вы можете скачать последнюю версию на странице проекта на github: https://github.com/as3boyan/EnduranceLogger",
"$NEWFLASHVERSION","Обновленная версия доступна по ссылке Kongregate",
"$SOUNDON","Звук включен",
"$SOUNDOFF","Звук выключен",
"$NOTIFICATIONSON","Уведомления включены",
"$CREDITS","Endurance Logger by AS3Boyan<N>Изображения флагов были взяты с famfamfam(http://www.famfamfam.com/)licensedunderpublicdomain",
"$HOTKEYS","Горячие клавиши:<N>M - вкл/выкл звук,S - вкл/выкл социальные кнопки, U - проверить обновления, N - вкл/выкл уведомления, E - експортировать базу данных, I - импортировать базу данных, G - открыть страницу программы на github, H - показать справку по горячим клавишам",
"$YOUDID","Вы сделали",
"$TODAY","сегодня",
"$INTHISWEEK","за неделю",
"$INTHISMONTH","за месяц",
"$INTHISYEAR","за год",
"$DURINGALLTIME","за все время",
"$NEWVERSION","Новая версия доступна!",
"$STARTDOWNLOAD","Начать загрузку",
"$CANCEL","Отмена",
"$HOWMUCH","Сколько <X> вы сделали?",
"$DOADDITIONAL","Сделайте еще <X>",
"$TOBREAKDAYRECORDON","чтобы побить рекорд дня(<X> на",
"$TOBREAKMONTHRECORDON","чтобы побить рекорд месяца(<X> на",
"$NEWDAILYRECORD","Поздравляем! Вы установили новый рекорд дня по",
"$NEWMONTHRECORD","Поздравляем! Вы установили новый рекорд месяца по",
"$DATABASEEXPORTSUCCESS","База данных была успешно экспортирована",
"$CANNOTFINDDATABASE","Файл workout.txt должен находится в той же папке что и EnduranceLogger.exe",
"$OK","OK",